woman,age,education,work,metropolitan_area,non_white,urban,work_permit,poverty
0,39,3,1,0,1,0,2,1
0,42,4,1,0,1,0,2,1
0,34,7,9,0,1,0,0,1
0,31,5,4,1,1,1,2,0
0,22,5,5,1,1,1,0,0
0,62,3,7,1,0,1,1,0
0,62,7,8,1,0,1,0,0
1,33,7,9,1,0,1,2,0
1,33,7,9,1,1,1,1,0
1,52,7,8,1,1,1,0,0
0,22,6,2,1,1,1,1,0
1,49,6,10,1,1,1,2,0
1,25,7,7,1,1,1,0,0
0,23,7,8,1,1,1,2,0
1,22,7,7,1,1,1,1,0
0,32,3,6,1,1,1,1,1
1,26,6,4,1,0,1,1,1
0,36,5,4,0,1,1,0,1
0,47,5,8,0,1,1,2,0
1,41,5,7,0,1,1,1,0
0,39,5,2,0,1,1,0,1
1,16,3,11,0,1,1,0,1
0,28,2,5,0,1,1,0,1
0,35,5,4,0,1,1,2,1
0,57,2,1,0,1,1,2,1
0,43,1,1,0,1,1,2,1
0,39,3,4,0,1,1,2,1
0,31,5,4,0,1,1,2,0
0,45,2,4,1,1,1,2,0
1,40,7,8,1,1,1,2,0
1,29,7,2,1,1,1,1,1
0,60,7,8,1,1,1,2,0
0,60,5,3,1,1,1,2,0
0,46,5,4,1,1,1,2,1
0,27,5,4,0,1,1,0,1
